country,Year,population_total,income_per_person_gdppercapita_ppp_inflation_adjusted (1),energy_use_per_person (1)
Albania,2005,3.06M,8600,707
Albania,2006,3.03M,9180,680
Albania,2007,3M,9940,711
Albania,2008,2.97M,10.3k,732
Albania,2009,2.95M,10.8k,729
Albania,2010,2.93M,11.1k,765
United Arab Emirates,1970,277k,101k,3650
United Arab Emirates,1971,331k,93.6k,3180
United Arab Emirates,1972,395k,91.2k,3310
United Arab Emirates,1973,467k,93.5k,2870
United Arab Emirates,1974,548k,84.3k,3530
United Arab Emirates,1975,638k,83.9k,3860
United Arab Emirates,1976,735k,85.7k,5590
United Arab Emirates,1977,835k,73.6k,5710
United Arab Emirates,1978,932k,81.9k,5980
United Arab Emirates,1979,1.02M,93.5k,7090
United Arab Emirates,1980,1.1M,89.5k,8090
United Arab Emirates,1981,1.16M,77.3k,8300
United Arab Emirates,1982,1.23M,69.4k,7580
United Arab Emirates,1983,1.29M,68.5k,9330
United Arab Emirates,1984,1.37M,63.2k,10k
United Arab Emirates,1985,1.45M,47.9k,10.8k
United Arab Emirates,1986,1.53M,47.6k,11.3k
United Arab Emirates,1987,1.63M,44.1k,10.9k
United Arab Emirates,1988,1.73M,46.8k,11.9k
United Arab Emirates,1989,1.83M,51.1k,11.2k
United Arab Emirates,1990,1.94M,50.3k,12.1k
United Arab Emirates,1991,2.05M,50.3k,10.9k
United Arab Emirates,1992,2.17M,49.8k,10.8k
United Arab Emirates,1993,2.29M,52.8k,11.4k
United Arab Emirates,1994,2.42M,55.9k,11.5k
United Arab Emirates,1995,2.54M,58.3k,11.5k
United Arab Emirates,1996,2.67M,62.5k,11.6k
United Arab Emirates,1997,2.81M,62.5k,11.2k
United Arab Emirates,1998,2.97M,64.3k,10.9k
United Arab Emirates,1999,3.13M,71.2k,10.1k
United Arab Emirates,2000,3.3M,71.8k,12.2k
United Arab Emirates,2001,3.48M,73k,11.5k
United Arab Emirates,2002,3.71M,78.1k,10.6k
United Arab Emirates,2003,4.07M,82k,10.3k
United Arab Emirates,2004,4.59M,80.2k,9700
United Arab Emirates,2005,5.3M,86.4k,8720
United Arab Emirates,2006,6.17M,76.6k,8130
United Arab Emirates,2007,7.09M,68.8k,8370
United Arab Emirates,2008,7.92M,58.4k,7570
United Arab Emirates,2009,8.55M,54.9k,7220
United Arab Emirates,2010,8.95M,56.1k,7190
Argentina,1970,24.3M,14.8k,1390
Argentina,1971,24.7M,15.1k,1390
Argentina,1972,25.1M,15.9k,1420
Argentina,1973,25.5M,16.7k,1430
Argentina,1974,25.9M,16.4k,1390
Argentina,1975,26.3M,16.2k,1420
Argentina,1976,26.7M,16.9k,1430
Argentina,1977,27.1M,16k,1440
Argentina,1978,27.5M,17k,1500
Argentina,1979,27.9M,17k,1500
Argentina,1980,28.3M,15.9k,1440
Argentina,1981,28.8M,15.2k,1430
Argentina,1982,29.3M,15.6k,1430
Argentina,1983,29.7M,15.8k,1460
Argentina,1984,30.2M,14.6k,1370
Argentina,1985,30.7M,15.5k,1430
Argentina,1986,31.2M,15.8k,1480
Argentina,1987,31.7M,15.3k,1510
Argentina,1988,32.1M,14.3k,1450
Argentina,1989,32.6M,14.1k,1410
Argentina,1990,33.1M,15.2k,1440
Argentina,1991,33.5M,16.2k,1490
Argentina,1992,34M,17.3k,1470
Argentina,1993,34.4M,18.1k,1550
Argentina,1994,34.8M,17.4k,1550
Argentina,1995,35.2M,18.1k,1590
Argentina,1996,35.7M,19.3k,1620
Argentina,1997,36.1M,19.9k,1660
Argentina,1998,36.5M,19k,1670
Argentina,1999,36.9M,18.6k,1670
Argentina,2000,37.3M,17.6k,1570
Argentina,2001,37.7M,15.5k,1510
Argentina,2002,38.1M,16.7k,1600
Argentina,2003,38.5M,18k,1730
Argentina,2004,38.9M,19.4k,1720
Argentina,2005,39.3M,20.8k,1850
Argentina,2006,39.7M,22.4k,1860
Argentina,2007,40.1M,23.1k,1940
Argentina,2008,40.5M,21.5k,1870
Argentina,2009,40.9M,23.5k,1930
Argentina,2010,41.3M,24.6k,1950
Australia,1970,13M,22.4k,3990
Australia,1971,13.2M,22.6k,4040
Australia,1972,13.4M,23.5k,4260
Australia,1973,13.6M,23.7k,4290
Australia,1974,13.8M,24k,4350
Australia,1975,13.9M,24.7k,4410
Australia,1976,14.1M,24.7k,4670
Australia,1977,14.2M,25.1k,4630
Australia,1978,14.4M,26.1k,4680
Australia,1979,14.6M,26.2k,4740
Australia,1980,14.8M,26.7k,4690
Australia,1981,15M,26.2k,4820
Australia,1982,15.2M,25.9k,4560
Australia,1983,15.4M,27.4k,4650
Australia,1984,15.7M,28.4k,4600
Australia,1985,15.9M,28.6k,4620
Australia,1986,16.2M,29.6k,4770
Australia,1987,16.5M,30.4k,4700
Australia,1988,16.7M,31.2k,5000
Australia,1989,17M,31.2k,5060
Australia,1990,17.2M,30.6k,4930
Australia,1991,17.4M,30.4k,4960
Australia,1992,17.6M,31.3k,5150
Australia,1993,17.8M,32.2k,5090
Australia,1994,18M,33k,5130
Australia,1995,18.2M,33.9k,5390
Australia,1996,18.4M,34.8k,5470
Australia,1997,18.6M,36.1k,5550
Australia,1998,18.8M,37.5k,5610
Australia,1999,19M,38.5k,5640
Australia,2000,19.2M,38.7k,5450
Australia,2001,19.4M,39.7k,5570
Australia,2002,19.6M,40.4k,5570
Australia,2003,19.9M,41.6k,5600
Australia,2004,20.2M,42.3k,5560
Australia,2005,20.5M,42.9k,5710
Australia,2006,20.9M,44.3k,5870
Australia,2007,21.3M,45k,5960
Australia,2008,21.8M,44.9k,5860
Australia,2009,22.2M,45.1k,5790
Australia,2010,22.5M,45.6k,5750
Austria,1970,7.55M,20.2k,2510
Austria,1971,7.58M,21.4k,2630
Austria,1972,7.61M,22.5k,2830
Austria,1973,7.63M,23.5k,2730
Austria,1974,7.64M,23.6k,2650
Austria,1975,7.64M,24.9k,2870
Austria,1976,7.64M,26.2k,2800
Austria,1977,7.63M,26.3k,2890
Austria,1978,7.62M,28k,3140
Austria,1979,7.61M,28.8k,3070
Austria,1980,7.6M,28.9k,2900
Austria,1981,7.6M,29.6k,2830
Austria,1982,7.6M,30.7k,2840
Austria,1983,7.61M,31k,2950
Austria,1984,7.61M,31.8k,3050
Austria,1985,7.63M,32.7k,3060
Austria,1986,7.64M,33.4k,3170
Austria,1987,7.66M,34.6k,3200
Austria,1988,7.69M,36.2k,3140
Austria,1989,7.72M,37.6k,3240
Austria,1990,7.77M,38.5k,3420
Austria,1991,7.83M,38.8k,3250
Austria,1992,7.89M,38.7k,3260
Austria,1993,7.95M,39.5k,3230
Austria,1994,7.99M,40.5k,3370
Austria,1995,8.02M,41.4k,3580
Austria,1996,8.03M,42.2k,3550
Austria,1997,8.04M,43.7k,3610
Austria,1998,8.05M,45.1k,3590
Austria,1999,8.07M,46.6k,3570
Austria,2000,8.1M,47k,3760
Austria,2001,8.13M,47.5k,3770
Austria,2002,8.18M,47.7k,3970
Austria,2003,8.22M,48.7k,4010
Austria,2004,8.25M,49.5k,4090
Austria,2005,8.29M,50.9k,4080
Austria,2006,8.31M,52.7k,4020
Austria,2007,8.34M,53.3k,4030
Austria,2008,8.37M,51.1k,3800
Austria,2009,8.41M,51.9k,4050
Austria,2010,8.45M,53.3k,3920
Belgium,1970,9.66M,21.1k,4100
Belgium,1971,9.69M,22.2k,4470
Belgium,1972,9.72M,23.6k,4720
Belgium,1973,9.75M,24.6k,4620
Belgium,1974,9.77M,24.3k,4320
Belgium,1975,9.79M,25.7k,4620
Belgium,1976,9.82M,26k,4590
Belgium,1977,9.84M,26.8k,4830
Belgium,1978,9.85M,27.5k,4980
Belgium,1979,9.87M,28.8k,4740
Belgium,1980,9.88M,28.6k,4420
Belgium,1981,9.89M,29.1k,4210
Belgium,1982,9.9M,29.2k,4160
Belgium,1983,9.91M,30k,4330
Belgium,1984,9.92M,30.4k,4470
Belgium,1985,9.93M,31k,4630
Belgium,1986,9.94M,31.8k,4730
Belgium,1987,9.96M,33.4k,4770
Belgium,1988,9.98M,34.5k,4800
Belgium,1989,10M,35.6k,4810
Belgium,1990,10M,36.1k,5010
Belgium,1991,10.1M,36.5k,5040
Belgium,1992,10.1M,36k,4900
Belgium,1993,10.2M,37.1k,5190
Belgium,1994,10.2M,37.9k,5270
Belgium,1995,10.2M,38.3k,5540
Belgium,1996,10.2M,39.7k,5520
Belgium,1997,10.2M,40.4k,5600
Belgium,1998,10.3M,41.7k,5610
Belgium,1999,10.3M,43.2k,5670
Belgium,2000,10.3M,43.5k,5630
Belgium,2001,10.4M,44k,5390
Belgium,2002,10.4M,44.3k,5590
Belgium,2003,10.5M,45.7k,5590
Belgium,2004,10.5M,46.5k,5560
Belgium,2005,10.6M,47.4k,5470
Belgium,2006,10.7M,48.7k,5340
Belgium,2007,10.8M,48.6k,5450
Belgium,2008,10.9M,47.2k,5200
Belgium,2009,10.9M,48.1k,5540
Belgium,2010,11M,48.3k,5090
Benin,1970,2.98M,1790,371
Benin,1971,3.04M,1920,380
Benin,1972,3.11M,1950,380
Benin,1973,3.19M,2030,379
Benin,1974,3.27M,1850,381
Benin,1975,3.35M,1820,360
Benin,1976,3.43M,1850,364
Benin,1977,3.52M,1790,368
Benin,1978,3.62M,1890,365
Benin,1979,3.72M,2000,364
Benin,1980,3.82M,2060,353
Benin,1981,3.93M,2210,356
Benin,1982,4.04M,2060,355
Benin,1983,4.16M,2150,354
Benin,1984,4.28M,2250,361
Benin,1985,4.4M,2230,354
Benin,1986,4.54M,2130,348
Benin,1987,4.67M,2130,347
Benin,1988,4.82M,2060,338
Benin,1989,4.98M,2180,334
Benin,1990,5.15M,2190,328
Benin,1991,5.33M,2180,324
Benin,1992,5.52M,2230,320
Benin,1993,5.71M,2200,316
Benin,1994,5.91M,2250,313
Benin,1995,6.09M,2280,353
Benin,1996,6.28M,2340,355
Benin,1997,6.47M,2360,340
Benin,1998,6.66M,2410,345
Benin,1999,6.87M,2480,289
Benin,2000,7.08M,2530,298
Benin,2001,7.3M,2570,310
Benin,2002,7.52M,2580,317
Benin,2003,7.75M,2610,321
Benin,2004,7.98M,2580,313
Benin,2005,8.22M,2610,359
Benin,2006,8.45M,2690,379
Benin,2007,8.7M,2740,377
Benin,2008,8.94M,2720,384
Benin,2009,9.2M,2710,397
Benin,2010,9.46M,2710,397
Bangladesh,1970,65.5M,1200,86.8
Bangladesh,1971,66.6M,1040,88.1
Bangladesh,1972,67.6M,1030,93.9
Bangladesh,1973,68.7M,1150,95.5
Bangladesh,1974,70.1M,1120,96
Bangladesh,1975,71.7M,1160,99.9
Bangladesh,1976,73.5M,1140,99.7
Bangladesh,1977,75.5M,1200,100
Bangladesh,1978,77.5M,1230,102
Bangladesh,1979,79.6M,1220,106
Bangladesh,1980,81.8M,1230,105
Bangladesh,1981,83.9M,1230,108
Bangladesh,1982,86.1M,1270,108
Bangladesh,1983,88.4M,1320,106
Bangladesh,1984,90.8M,1340,110
Bangladesh,1985,93.2M,1380,114
Bangladesh,1986,95.7M,1410,110
Bangladesh,1987,98.2M,1430,117
Bangladesh,1988,101M,1450,120
Bangladesh,1989,103M,1520,123
Bangladesh,1990,106M,1540,119
Bangladesh,1991,108M,1580,123
Bangladesh,1992,110M,1620,127
Bangladesh,1993,113M,1650,130
Bangladesh,1994,115M,1700,138
Bangladesh,1995,118M,1740,136
Bangladesh,1996,120M,1780,139
Bangladesh,1997,123M,1830,142
Bangladesh,1998,125M,1880,141
Bangladesh,1999,128M,1940,143
Bangladesh,2000,130M,2000,154
Bangladesh,2001,132M,2040,154
Bangladesh,2002,135M,2100,160
Bangladesh,2003,137M,2170,160
Bangladesh,2004,139M,2280,164
Bangladesh,2005,141M,2400,173
Bangladesh,2006,143M,2540,179
Bangladesh,2007,144M,2660,186
Bangladesh,2008,146M,2760,193
Bangladesh,2009,148M,2880,207
Bangladesh,2010,149M,3040,212
Bulgaria,1970,8.56M,9580,2230
Bulgaria,1971,8.61M,10k,2260
Bulgaria,1972,8.66M,10.4k,2380
Bulgaria,1973,8.7M,10.8k,2460
Bulgaria,1974,8.74M,11.7k,2670
Bulgaria,1975,8.77M,12k,2780
Bulgaria,1976,8.8M,11.9k,2950
Bulgaria,1977,8.83M,12.2k,3080
Bulgaria,1978,8.85M,12.8k,3200
Bulgaria,1979,8.88M,12.4k,3200
Bulgaria,1980,8.91M,12.8k,3190
Bulgaria,1981,8.93M,13.2k,3310
Bulgaria,1982,8.95M,13k,3370
Bulgaria,1983,8.97M,13.5k,3390
Bulgaria,1984,8.98M,13.1k,3420
Bulgaria,1985,8.97M,13.5k,3450
Bulgaria,1986,8.96M,13.6k,3410
Bulgaria,1987,8.94M,13.6k,3490
Bulgaria,1988,8.9M,13.4k,3430
Bulgaria,1989,8.84M,12.1k,3240
Bulgaria,1990,8.77M,11.2k,2540
Bulgaria,1991,8.68M,10.5k,2400
Bulgaria,1992,8.58M,10.4k,2590
Bulgaria,1993,8.47M,10.6k,2520
Bulgaria,1994,8.38M,11k,2750
Bulgaria,1995,8.29M,11.6k,2750
Bulgaria,1996,8.21M,10k,2500
Bulgaria,1997,8.14M,10.5k,2430
Bulgaria,1998,8.07M,9720,2230
Bulgaria,1999,8M,10.2k,2280
Bulgaria,2000,7.93M,10.8k,2420
Bulgaria,2001,7.87M,11.7k,2410
Bulgaria,2002,7.8M,12.4k,2490
Bulgaria,2003,7.74M,13.3k,2440
Bulgaria,2004,7.69M,14.4k,2600
Bulgaria,2005,7.63M,15.5k,2690
Bulgaria,2006,7.58M,16.6k,2670
Bulgaria,2007,7.52M,17.8k,2650
Bulgaria,2008,7.47M,17.3k,2350
Bulgaria,2009,7.43M,17.5k,2420
Bulgaria,2010,7.38M,18k,2620
Bahrain,1970,220k,38.5k,6390
Bahrain,1971,229k,40.6k,5970
Bahrain,1972,240k,42.3k,8500
Bahrain,1973,252k,44.2k,9010
Bahrain,1974,267k,37.9k,8000
Bahrain,1975,284k,41.6k,9580
Bahrain,1976,303k,42.8k,8190
Bahrain,1977,323k,42.5k,7840
Bahrain,1978,343k,40.7k,8810
Bahrain,1979,360k,42.2k,7790
Bahrain,1980,374k,40.4k,8300
Bahrain,1981,386k,40.5k,9070
Bahrain,1982,396k,40.9k,8500
Bahrain,1983,407k,40.6k,8830
Bahrain,1984,419k,38.8k,9920
Bahrain,1985,433k,38.3k,10.3k
Bahrain,1986,449k,38k,9520
Bahrain,1987,465k,38.6k,10.5k
Bahrain,1988,481k,38.9k,10.2k
Bahrain,1989,496k,38.6k,10.6k
Bahrain,1990,510k,41.8k,10.1k
Bahrain,1991,523k,43.4k,10.8k
Bahrain,1992,536k,47.8k,11.1k
Bahrain,1993,550k,46.5k,11.6k
Bahrain,1994,564k,47.2k,11.4k
Bahrain,1995,579k,47.8k,11.1k
Bahrain,1996,595k,48k,12.2k
Bahrain,1997,614k,48.7k,12.4k
Bahrain,1998,637k,49k,11.9k
Bahrain,1999,665k,49.4k,12k
Bahrain,2000,698k,48.2k,11.7k
Bahrain,2001,735k,47.3k,11.5k
Bahrain,2002,779k,47.5k,11.6k
Bahrain,2003,830k,47.7k,10.9k
Bahrain,2004,889k,47.5k,11.7k
Bahrain,2005,958k,46.9k,11.6k
Bahrain,2006,1.04M,47k,11.2k
Bahrain,2007,1.11M,46.4k,11.3k
Bahrain,2008,1.19M,44.8k,10.3k
Bahrain,2009,1.24M,44.6k,10.2k
Bahrain,2010,1.28M,44.2k,9910
Bolivia,1970,4.58M,4250,223
Bolivia,1971,4.68M,4370,241
Bolivia,1972,4.79M,4580,249
Bolivia,1973,4.89M,4720,261
Bolivia,1974,5M,4930,296
Bolivia,1975,5.11M,5210,317
Bolivia,1976,5.23M,5320,332
Bolivia,1977,5.34M,5390,352
Bolivia,1978,5.46M,5290,379
Bolivia,1979,5.58M,5150,438
Bolivia,1980,5.7M,5120,450
Bolivia,1981,5.81M,4840,464
Bolivia,1982,5.93M,4560,431
Bolivia,1983,6.05M,4550,422
Bolivia,1984,6.18M,4460,408
Bolivia,1985,6.31M,4260,378
Bolivia,1986,6.44M,4310,343
Bolivia,1987,6.58M,4400,350
Bolivia,1988,6.72M,4450,366
Bolivia,1989,6.86M,4590,380
Bolivia,1990,7.01M,4730,384
Bolivia,1991,7.16M,4710,398
Bolivia,1992,7.31M,4810,417
Bolivia,1993,7.47M,4930,449
Bolivia,1994,7.62M,5050,494
Bolivia,1995,7.78M,5160,520
Bolivia,1996,7.94M,5310,556
Bolivia,1997,8.1M,5470,551
Bolivia,1998,8.26M,5390,531
Bolivia,1999,8.42M,5420,583
Bolivia,2000,8.58M,5400,445
Bolivia,2001,8.74M,5430,523
Bolivia,2002,8.91M,5480,534
Bolivia,2003,9.07M,5610,525
Bolivia,2004,9.23M,5750,563
Bolivia,2005,9.4M,5920,692
Bolivia,2006,9.56M,6090,554
Bolivia,2007,9.72M,6350,579
Bolivia,2008,9.88M,6460,594
Bolivia,2009,10M,6610,636
Bolivia,2010,10.2M,6850,661
Brazil,1970,97.5M,6130,716
Brazil,1971,99.9M,6720,749
Brazil,1972,102M,7500,802
Brazil,1973,105M,7950,833
Brazil,1974,107M,8200,850
Brazil,1975,110M,8860,871
Brazil,1976,112M,9120,879
Brazil,1977,115M,9390,913
Brazil,1978,118M,9830,948
Brazil,1979,121M,10.5k,943
Brazil,1980,124M,9900,884
Brazil,1981,126M,9790,878
Brazil,1982,129M,9340,879
Brazil,1983,132M,9690,915
Brazil,1984,135M,10.3k,956
Brazil,1985,138M,10.9k,980
Brazil,1986,141M,11.1k,998
Brazil,1987,144M,10.9k,993
Brazil,1988,146M,11.1k,994
Brazil,1989,149M,10.5k,941
Brazil,1990,152M,10.5k,942
Brazil,1991,154M,10.3k,936
Brazil,1992,157M,10.6k,943
Brazil,1993,159M,10.9k,977
Brazil,1994,162M,11.3k,994
Brazil,1995,165M,11.3k,1030
Brazil,1996,167M,11.5k,1070
Brazil,1997,170M,11.4k,1080
Brazil,1998,172M,11.3k,1080
Brazil,1999,175M,11.6k,1070
Brazil,2000,177M,11.6k,1080
Brazil,2001,180M,11.8k,1090
Brazil,2002,182M,11.8k,1090
Brazil,2003,184M,12.3k,1140
Brazil,2004,186M,12.6k,1160
Brazil,2005,188M,12.9k,1180
Brazil,2006,190M,13.6k,1240
Brazil,2007,192M,14.1k,1290
Brazil,2008,194M,14k,1240
Brazil,2009,196M,14.9k,1360
Brazil,2010,198M,15.3k,1370
Brunei,1970,136k,84.6k,1310
Brunei,1971,142k,88.8k,1240
Brunei,1972,149k,92.9k,2320
Brunei,1973,155k,99k,3830
Brunei,1974,162k,95.2k,4580
Brunei,1975,168k,110k,5800
Brunei,1976,175k,117k,6040
Brunei,1977,181k,120k,5440
Brunei,1978,188k,142k,5470
Brunei,1979,194k,128k,6960
Brunei,1980,200k,99k,6500
Brunei,1981,206k,99.7k,6780
Brunei,1982,212k,97.2k,6960
Brunei,1983,218k,94.8k,7790
Brunei,1984,224k,90.6k,7940
Brunei,1985,231k,77.9k,6780
Brunei,1986,238k,75.8k,6760
Brunei,1987,244k,73.3k,5460
Brunei,1988,251k,72.6k,6160
Brunei,1989,259k,71.2k,6670
Brunei,1990,266k,71.4k,7340
Brunei,1991,274k,72.7k,7670
Brunei,1992,282k,70.9k,7180
Brunei,1993,289k,71.2k,6480
Brunei,1994,297k,72.4k,7560
Brunei,1995,305k,72.7k,7430
Brunei,1996,312k,69.9k,7490
Brunei,1997,319k,68k,7290
Brunei,1998,326k,68.5k,7270
Brunei,1999,333k,69k,7160
Brunei,2000,340k,69.5k,6490
Brunei,2001,347k,70.8k,6220
Brunei,2002,353k,71.5k,7090
Brunei,2003,359k,70.6k,6390
Brunei,2004,365k,69.8k,6070
Brunei,2005,370k,71.8k,8510
Brunei,2006,375k,71.1k,8610
Brunei,2007,379k,68.9k,9340
Brunei,2008,384k,66.8k,7930
Brunei,2009,389k,67.8k,8340
Brunei,2010,394k,69.4k,9840
Canada,1970,21.7M,23k,6440
Canada,1971,22.1M,24k,6860
Canada,1972,22.4M,25.4k,7080
Canada,1973,22.7M,26.1k,7090
Canada,1974,23.1M,26.3k,7170
Canada,1975,23.4M,27.3k,7290
Canada,1976,23.6M,27.9k,7430
Canada,1977,23.9M,28.8k,7560
Canada,1978,24.2M,29.7k,7860
Canada,1979,24.4M,29.7k,7830
Canada,1980,24.7M,30.2k,7560
Canada,1981,24.9M,29k,7170
Canada,1982,25.2M,29.5k,7080
Canada,1983,25.4M,30.9k,7370
Canada,1984,25.7M,32.3k,7470
Canada,1985,26.1M,32.8k,7520
Canada,1986,26.4M,33.7k,7670
Canada,1987,26.8M,34.9k,7890
Canada,1988,27.2M,35.1k,7960
Canada,1989,27.5M,34.6k,7630
Canada,1990,27.9M,33.5k,7520
Canada,1991,28.2M,33.4k,7600
Canada,1992,28.5M,33.9k,7770
Canada,1993,28.9M,35.1k,7960
Canada,1994,29.2M,35.6k,7980
Canada,1995,29.5M,35.8k,8050
Canada,1996,29.7M,34.1k,8060
Canada,1997,30M,34.8k,7950
Canada,1998,30.3M,35.9k,8110
Canada,1999,30.6M,37.3k,8270
Canada,2000,30.9M,37.4k,8060
Canada,2001,31.2M,38.3k,7990
Canada,2002,31.5M,39.4k,8340
Canada,2003,31.8M,40.5k,8460
Canada,2004,32.2M,42.1k,8420
Canada,2005,32.5M,43.5k,8240
Canada,2006,32.9M,46k,8210
Canada,2007,33.3M,46k,8190
Canada,2008,33.7M,44.1k,7800
Canada,2009,34.1M,45k,7790
Canada,2010,34.5M,45.9k,7910
Switzerland,1970,6.2M,46.5k,2640
Switzerland,1971,6.25M,47.5k,2730
Switzerland,1972,6.29M,48.4k,3000
Switzerland,1973,6.32M,48.8k,2780
Switzerland,1974,6.34M,45k,2710
Switzerland,1975,6.34M,44.2k,2820
Switzerland,1976,6.32M,45.3k,2880
Switzerland,1977,6.3M,45.5k,3000
Switzerland,1978,6.29M,46.6k,3040
Switzerland,1979,6.28M,48.6k,3170
Switzerland,1980,6.3M,49.1k,3090
Switzerland,1981,6.32M,48.1k,2980
Switzerland,1982,6.36M,48k,3170
Switzerland,1983,6.4M,49k,3240
Switzerland,1984,6.44M,50.3k,3410
Switzerland,1985,6.47M,50.8k,3540
Switzerland,1986,6.51M,51.2k,3430
Switzerland,1987,6.55M,52.4k,3440
Switzerland,1988,6.6M,54.1k,3340
Switzerland,1989,6.65M,55.4k,3630
Switzerland,1990,6.72M,54.2k,3640
Switzerland,1991,6.79M,53.6k,3610
Switzerland,1992,6.87M,53.1k,3490
Switzerland,1993,6.94M,53.3k,3490
Switzerland,1994,7M,53.2k,3420
Switzerland,1995,7.04M,53.3k,3470
Switzerland,1996,7.07M,54.4k,3530
Switzerland,1997,7.09M,55.8k,3560
Switzerland,1998,7.12M,56.5k,3550
Switzerland,1999,7.14M,58.4k,3480
Switzerland,2000,7.18M,58.8k,3670
Switzerland,2001,7.22M,58.4k,3550
Switzerland,2002,7.27M,58k,3540
Switzerland,2003,7.32M,59.2k,3530
Switzerland,2004,7.39M,60.7k,3490
Switzerland,2005,7.46M,62.7k,3620
Switzerland,2006,7.54M,64.7k,3410
Switzerland,2007,7.62M,65.3k,3500
Switzerland,2008,7.71M,63k,3480
Switzerland,2009,7.81M,64.3k,3350
Switzerland,2010,7.91M,64.6k,3210
Chile,1970,9.94M,9510,875
Chile,1971,10.1M,9180,875
Chile,1972,10.3M,8480,828
Chile,1973,10.4M,8370,809
Chile,1974,10.6M,7130,721
Chile,1975,10.8M,7230,751
Chile,1976,10.9M,7790,767
Chile,1977,11.1M,8260,782
Chile,1978,11.3M,8770,815
Chile,1979,11.4M,9290,830
Chile,1980,11.6M,9640,831
Chile,1981,11.7M,8150,752
Chile,1982,11.9M,7750,767
Chile,1983,12.1M,8030,795
Chile,1984,12.3M,8010,782
Chile,1985,12.4M,8260,804
Chile,1986,12.6M,8600,817
Chile,1987,12.8M,9020,910
Chile,1988,13.1M,9750,1000
Chile,1989,13.3M,9880,1060
Chile,1990,13.5M,10.5k,1060
Chile,1991,13.7M,11.5k,1130
Chile,1992,13.9M,12k,1140
Chile,1993,14.2M,12.4k,1200
Chile,1994,14.4M,13.3k,1280
Chile,1995,14.6M,14k,1390
Chile,1996,14.8M,14.9k,1540
Chile,1997,15M,15.3k,1570
Chile,1998,15.2M,15.1k,1650
Chile,1999,15.3M,15.7k,1640
Chile,2000,15.5M,16k,1590
Chile,2001,15.7M,16.3k,1630
Chile,2002,15.8M,16.8k,1630
Chile,2003,16M,17.9k,1720
Chile,2004,16.2M,18.7k,1750
Chile,2005,16.4M,19.7k,1810
Chile,2006,16.5M,20.4k,1850
Chile,2007,16.7M,20.9k,1820
Chile,2008,16.9M,20.4k,1750
Chile,2009,17.1M,21.3k,1810
Chile,2010,17.2M,22.4k,1950
China,1970,849M,1310,465
China,1971,869M,1260,477
China,1972,889M,1300,484
China,1973,908M,1270,486
China,1974,926M,1300,527
China,1975,943M,1200,537
China,1976,958M,1220,577
China,1977,972M,1300,617
China,1978,986M,1350,619
China,1979,1B,1350,609
China,1980,1.01B,1330,597
